Epoch,Loss,Micro_f1,Macro_f1,NMI,ARI,Purity,Silhouette
128,1.1414627353350322,0.7828096118299446,0.7728043505436571,0.0240,0.0225,0.3277,0.1815
129,1.1401933987935384,0.7781885397412199,0.767118535266633,0.0394,0.0407,0.3408,0.1990
130,1.1374531189600627,0.7840418977202711,0.773554200460702,0.0774,0.0728,0.3716,0.1452
131,1.1376374284426372,0.7809611829944547,0.7706176987509593,0.0652,0.0620,0.3629,0.1583
132,1.1339440961678824,0.7828096118299446,0.7716015705407804,0.1181,0.1174,0.4216,0.0622
133,1.1326784451802572,0.7821934688847813,0.7723605944408573,0.1077,0.1056,0.4018,0.1353
134,1.1313872158527374,0.7889710412815774,0.7800457368125298,0.0645,0.0622,0.3693,0.0926
135,1.1303412338097891,0.781577325939618,0.7723390513461836,0.0594,0.0532,0.3526,0.1637
136,1.1267062326272328,0.7766481823783118,0.7670007776713539,0.0856,0.0766,0.3866,0.1000
137,1.1262264529863992,0.784966112138016,0.7754494701525935,0.1034,0.1018,0.4140,0.0728
138,1.1232655763626098,0.7868145409735059,0.7762145598141108,0.1208,0.1053,0.4047,0.0800
139,1.1230125069618224,0.7898952556993223,0.7789789512297279,0.0727,0.0622,0.3702,0.1063
140,1.1210147976875304,0.7923598274799754,0.7806995149020897,0.1641,0.1517,0.4566,0.0167
141,1.120774217446645,0.800369685767098,0.7894905014346905,0.1041,0.1002,0.3964,0.0731
142,1.1241090814272563,0.7997535428219347,0.7893388218042838,0.1059,0.1001,0.4019,0.1250
143,1.1155041495958964,0.8012939001848429,0.7911087700936499,0.1057,0.0997,0.4104,0.0278
144,1.1172219733397166,0.7997535428219347,0.7892500123907044,0.1977,0.2066,0.5080,0.0038
145,1.1150341967741648,0.7975970425138632,0.7871319989942778,0.0924,0.0910,0.4049,0.0280
146,1.1132365345954895,0.7985212569316081,0.7880405215875007,0.1565,0.1578,0.4669,0.0176
147,1.112860200802485,0.7991373998767715,0.7898810907952135,0.1153,0.1165,0.4298,0.0399
148,1.1107249120871225,0.7982131854590265,0.7882053757028399,0.1251,0.1216,0.4335,0.0050
149,1.108833420276642,0.8025261860751695,0.792133147219214,0.1324,0.1177,0.4328,0.0167
150,1.1073724945386252,0.7966728280961183,0.7874822993588821,0.0947,0.0892,0.4005,0.0152
151,1.1074930111567178,0.7985212569316081,0.7886193794691355,0.0949,0.0996,0.4141,0.0786
152,1.1065990269184112,0.7963647566235367,0.7860291842767186,0.1334,0.1230,0.4368,0.0302
153,1.1058517038822173,0.8034504004929144,0.7929483433364062,0.1547,0.1456,0.4672,-0.0057
154,1.1013153433799743,0.8040665434380776,0.7942675532787363,0.0980,0.0972,0.4154,0.0385
155,1.1026553332805633,0.8056069008009858,0.7956545293633513,0.1461,0.1359,0.4525,-0.0003
156,1.100668974717458,0.7960566851509551,0.7855601264495619,0.1748,0.1544,0.4731,0.0018
157,1.1003657678763072,0.8019100431300061,0.791551770069686,0.0828,0.0727,0.3866,0.0431
158,1.1035237391789754,0.8019100431300061,0.7917330667462334,0.1075,0.1071,0.4273,0.0081
159,1.1016682763894399,0.7985212569316081,0.7887282952509482,0.1097,0.1028,0.4175,0.0102
160,1.099708765745163,0.7963647566235367,0.78665459244927,0.1192,0.1063,0.4261,0.0042
161,1.0982397675514222,0.8025261860751695,0.7921951394281216,0.1303,0.1251,0.4474,0.0017
162,1.096563454469045,0.8012939001848429,0.7902506749260637,0.1079,0.1074,0.4217,0.0309
163,1.0961212694644928,0.8074553296364757,0.7970031479130413,0.1890,0.1772,0.4840,-0.0004
164,1.097574955224991,0.8016019716574245,0.7913062250392854,0.1045,0.1056,0.4208,0.0068
165,1.0949610332647959,0.8062230437461491,0.7965337451456418,0.1161,0.1044,0.4299,0.0059
166,1.0951456169287364,0.8049907578558225,0.7954303167018909,0.1747,0.1760,0.4932,0.0082
167,1.0946366786956787,0.8022181146025879,0.7927880352444489,0.1519,0.1507,0.4635,-0.0078
168,1.0916472256183625,0.8016019716574245,0.7920495273270607,0.1166,0.1095,0.4320,0.0155
169,1.0927591105302175,0.800369685767098,0.7898742148634941,0.1393,0.1358,0.4665,-0.0150
170,1.0937101244926453,0.8052988293284042,0.7943206262085094,0.1356,0.1312,0.4623,-0.0012
171,1.0887338777383169,0.8046826863832409,0.7941791040011627,0.1736,0.1708,0.5007,-0.0025
172,1.0904884775479635,0.8012939001848429,0.7908550881461277,0.0506,0.0492,0.3749,-0.0028
173,1.0910475512345632,0.8016019716574245,0.791012050953501,0.1191,0.1146,0.4419,0.0243
174,1.0897753715515137,0.7997535428219347,0.7910214237910448,0.1417,0.1314,0.4525,-0.0020
175,1.087677146991094,0.7994454713493531,0.7900551849191348,0.0718,0.0662,0.3922,0.0105
176,1.088664698600769,0.8028342575477511,0.7938661551041015,0.1279,0.1139,0.4361,0.0035
177,1.0876298228899637,0.7997535428219347,0.7905134822637863,0.1507,0.1318,0.4636,-0.0119
178,1.0856886903444927,0.8022181146025879,0.7924048581790687,0.1364,0.1168,0.4466,0.0084
179,1.084377924601237,0.8000616142945163,0.7898778448116075,0.1199,0.1030,0.4215,0.0037
180,1.0846987227598825,0.8074553296364757,0.7990488371158431,0.1744,0.1508,0.4719,-0.0000
181,1.0833312014738719,0.8040665434380776,0.795473955128484,0.0799,0.0717,0.3946,0.0296
182,1.082809962828954,0.8074553296364757,0.7983178499196522,0.1067,0.0889,0.4238,0.0145
183,1.0812947948773701,0.8040665434380776,0.7937534733409044,0.2169,0.1967,0.5195,-0.0146
184,1.082234803835551,0.8006777572396796,0.7905834251258401,0.1689,0.1577,0.4873,-0.0039
185,1.0819714784622192,0.8065311152187308,0.7962247469919509,0.1188,0.1120,0.4321,-0.0153
186,1.0790090163548787,0.8105360443622921,0.8006552496577619,0.1346,0.1222,0.4506,-0.0004
187,1.0787719368934632,0.8083795440542206,0.7994194174832782,0.1711,0.1553,0.4824,-0.0143
188,1.0789462824662526,0.8056069008009858,0.7958600379889339,0.1432,0.1270,0.4528,-0.0075
189,1.0797115047772725,0.8046826863832409,0.7951059154822717,0.1478,0.1354,0.4621,-0.0072
190,1.0789470493793487,0.8114602587800369,0.8021515945331817,0.1400,0.1201,0.4616,-0.0109
191,1.0775044461091359,0.8120764017252002,0.8028772909354611,0.1509,0.1283,0.4585,-0.0073
192,1.0775151828924814,0.8089956869993838,0.7995247566857744,0.0444,0.0475,0.3854,-0.0026
193,1.0762494266033173,0.8139248305606901,0.8053058080564311,0.1205,0.1100,0.4475,-0.0121
194,1.0748562693595887,0.8102279728897104,0.8015736690781224,0.1037,0.0890,0.4267,-0.0134
195,1.0764701783657074,0.8108441158348737,0.8010713254048654,0.2002,0.1728,0.4943,-0.0073
